(u'California, USA', '|', u'@peddoc63 Trumpsters have their minds made up; not open to exchange of ideas. .#tcot', 'Trump')
(u'Pennsylvania, USA', '|', u"@realDonaldTrump the truth is the last person Hillary wants to see is Trump that's why the polls show him losing to her. FAKE POLL", 'Trump')
(u'California, USA', '|', u"Most of the illegal aliens don't cross the southern border. Most of them simply overstay their visas.Trump never speaks of this,no applause", 'Trump')
(u'Alabama, USA', '|', u"Cruz talks about restoring R rights but he's STEALING R rights! Why does he allow Colo, to disenfranchise us? @realDonaldTrump", 'Trump')
(u'Boston, MA', '|', u"86% of Republicans Think TRUMP Can WIN:https://t.co/OnnTlF4hQN Tell GOP, Don't try &amp; STEAL ELECTION,we go with TRUMP https://t.co/SSW8ud4QYb", 'Trump')
(u'Charlotte, NC', '|', u'Fellas do you kiss Teanna Trump after head?', 'Trump')
(u'Louisiana, USA', '|', u'If #Hillary wins, she has promised #OBAMA a seat on the Supreme Court.  Folks, we cannot EVER let that happen. RT RT &amp; RT.  VOTE #TRUMP', 'Trump')
(u'California, USA', '|', u'And little of the racial agitation and alienation that he is fantasizing about vomiting him out into the Oval Office. #NeverTrump', 'Trump')
(u'Pennsylvania, USA', '|', u"@realDonaldTrump not only would he win she is scared of that happening. No way she would win are you kidding?? Who's making this FAKE poll?", 'Trump')
(u'North Little Rock, AR', '|', u'Show me a video of T Trump talking I hear she sound retarded', 'Trump')
(u'Charlotte, NC', '|', u'You kiss Teanna Trump after head, you more than likely just got some Precum in your mouth. \U0001f633\U0001f630\U0001f628', 'Trump')
(u'Kentucky, USA', '|', u'#Trump in 2016 Temp:54.7\xb0F Wind:4.0mph Pressure: 30.00hpa Steady Rain Today 0.00in.  Forecast: Fine, possible showers', 'Trump')
(u'Brooklyn, NY', '|', u"Y no-longer low info voters 4 Trump AND Cruz may b LIBERTY'S best kept secret WEAPON. On AmericanThinker https://t.co/4GWS6QUskr", 'Trump')
(u'New Haven, CT', '|', u'smokin trump pacc', 'Trump')
(u'Tennessee, USA', '|', u'@P0TUSTrump @cologop https://t.co/wRhIHTaTir', 'Trump')
(u'Maryland, USA', '|', u'@realDonaldTrump I guess we have #DearLeaderDaddyCruz?', 'Trump')
(u'Manhattan, NY', '|', u'@randallr01 @realDonaldTrump @smerconish @JohnKasich @tedcruz  Tough to forget criticizing #NYValues .   Never forget 9/11', 'Trump')
(u'Ohio, USA', '|', u'Thought interesting EVERY Poll EXCEPT FOX has Cruz losing 2 HRC and Trump way closer EXCEPT FOX. https://t.co/OQh3QdJTK0 @foxandfriends', 'Trump')
(u'Virginia, USA', '|', u'Comcast determined to impact presidential outcome offering poll with results between Clinton and Trump and probably has investment #FanDuel', 'Trump')
(u'Lynbrook, NY', '|', u'@RoryAlbanese @realDonaldTrump Shuddering. For real.', 'Trump')
(u'Charlotte, NC', '|', u'Like Roxy Reynolds. Smh Skin Diamond. Lacey Duvalle. Smh Teanna Trump. Asa Akira', 'Trump')
(u'Holly Springs, NC', '|', u'A portrait of Trump the donor: Free rounds of golf, but no personal cash https://t.co/MOdALnBdbP', 'Trump')
(u'Jefferson City, MO', '|', u'GOP corruption @realDonaldTrump @DiamondandSilk @scotyb @Embarcadero59  https://t.co/EmpEczaGBv', 'Trump')
(u'Washington Avenue Armory', '|', u"At Washington Ave Armory ahead of @BernieSanders visit at 2pm. Less than a mile from Trump's @timesunion stop at 7p https://t.co/txTo8BhBlk", 'Trump')
(u'West Virginia, USA', '|', u'@FBIBoston #irs Party registered and taxes and rights its a Party not a gov if jhave job in gov u can have gov protection who Hillary/Trump', 'Trump')
(u'West Virginia, USA', '|', u'@FBIBoston have secret service cover Hillry and trump u have some foreign borns that cant run and FBI u do nothing u are terrorist as they', 'Trump')
(u'Wisconsin, USA', '|', u'@mitchellvii And the Cruz supporters see nothing wrong with it. They need to wake the he** up.  #TRUMP', 'Trump')
(u'Texas, USA', '|', u"That's correct! The #TrumpTrain will roar into #Cleveland come July &amp; roll into the #WhiteHouse come January! #MAGA https://t.co/JTM8DglK10", 'Trump')
(u'Virginia, USA', '|', u'They are already doing that getting rid of trumps delegates and making them Cruz https://t.co/4mtGapNHL0', 'Trump')
(u'Indiana, USA', '|', u"@realDonaldTrump Unfavorable poll means nothing. I don't agree with him all of the time.Agree with the things that matter. I'm voting #Trump", 'Trump')
(u'Jackson, TN', '|', u"Trump's been unfair to so many, he doesn't deserve fairness.  https://t.co/O8fYCRtHAC", 'Trump')
(u'Paradise, NV', '|', u"I read the 911 report, apparently it and bush were deceptive Donald Trump's accusation during the debate is true https://t.co/QF80O1BWEA", 'Trump')
(u'Kentucky, USA', '|', u'#Trump in 2016 Temp:54.9\xb0F Wind:5.6mph Pressure: 30.00hpa Steady Rain Today 0.00in.  Forecast: Fine, possible showers', 'Trump')
(u'Pikesville, MD', '|', u'@ethomas3915 Waiting on #Trump and #Bernie both rabble rousers with unviable agendas-one closed in hate/bigotry the other PIE/IN SKY', 'Trump')
(u'Indiana, USA', '|', u"@FoxNews @GovMikeHuckabee @ffweekend And the RNC has been hijacked by the GOPe and super PAC's. Gov Huckabee endorse Trump!", 'Trump')
(u'Virginia, USA', '|', u".@realDonaldTrump \n\nRNC = \U0001f4a9 yet we'll win\nvia @JeffersonParty\n\nBut I need your authority to get you balloted in 56.\n\nhttps://t.co/JNOsFQu9dc", 'Trump')
(u'Boston, MA', '|', u"86% of Republicans Think TRUMP Can WIN:https://t.co/OnnTlF4hQN Tell GOP, Don't try &amp; STEAL ELECTION,we go with TRUMP https://t.co/F4PBUdlciA", 'Trump')
(u'Jefferson City, MO', '|', u'Evil is afoot #GOP elites stealing @realDonaldTrump delegates.  #WomenForTrump #StopTheSteal https://t.co/Cn0Ta1e2DO', 'Trump')
(u'Alabama, USA', '|', u"If trump doesn't stfu I'm gonna flip shit here at the airport lol turn that shit off", 'Trump')
(u'Illinois, USA', '|', u'#IllBeReallyUpsetIf I was Melanoma Trump https://t.co/WrSVdI5Bc1', 'Trump')
(u'Boston, MA', '|', u"86% of Republicans Think TRUMP Can WIN:https://t.co/OnnTlF4hQN Tell GOP, Don't try &amp; STEAL ELECTION,we go with TRUMP https://t.co/EOF8cbJxxn", 'Trump')
(u'Huntington, IN', '|', u'@realDonaldTrump I am working for you here in Indiana', 'Trump')
(u'Ardmore, OK', '|', u'Someone told Holli that Donald Trump might be president. @ Central Park, Ardmore OK https://t.co/004ufeDApG', 'Trump')
(u'Akron, OH', '|', u"@K_Bob just more proof that trump koolaid is some strong stuff.  trump will never get to 1237, EVER.  he'll b embarrassed after 1st ballot", 'Trump')
